City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,laminusa,5.5549,120.9136,28.91,72,100,4.42,PH,1691553761
154,vydrino,51.485,104.8461,14.36,98,100,1.76,RU,1691553762
155,colac,-38.3333,143.5833,16.21,55,0,6.71,AU,1691553762
156,manjeshvar,12.7,74.8833,25.66,75,93,1.04,IN,1691553762
157,karasuyama,36.65,140.15,28.92,82,60,4.59,JP,1691553762
158,bilibino,68.0546,166.4372,6.35,72,100,3.0,RU,1691553763
159,koh kong,11.6175,102.9806,29.77,66,20,2.66,KH,1691553763
160,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,49,0,2.0,RU,1691553763
161,ilulissat,69.2167,-51.1,5.01,81,75,1.54,GL,1691553763
162,yakeshi,49.2833,120.7333,19.73,65,86,3.24,CN,1691553764
163,buston,40.2342,69.6948,28.1,42,0,9.0,TJ,1691553764
164,pekan,3.4836,103.3996,30.06,61,16,1.98,MY,1691553764
165,happy valley-goose bay,53.3168,-60.3315,14.17,82,75,1.03,CA,1691553764
166,haiku-pauwela,20.9219,-156.3051,26.76,61,25,7.6,US,1691553765
167,sola,-13.8833,167.55,24.37,88,100,3.09,VU,1691553765
168,chos malal,-37.3781,-70.2709,11.4,44,91,2.95,AR,1691553765
169,morondava,-20.2833,44.2833,18.55,71,0,2.57,MG,1691553766
170,longyearbyen,78.2186,15.6401,7.91,81,0,0.0,SJ,1691553766
171,hamilton,39.1834,-84.5333,21.54,86,0,1.54,US,1691553766
172,mangalia,43.8,28.5833,16.92,73,1,3.58,RO,1691553766
173,bengkulu,-3.8004,102.2655,28.48,71,48,2.67,ID,1691553766
174,moranbah,-22.0016,148.0466,23.73,31,29,6.93,AU,1691553767
175,filadelfia,39.9523,-75.1638,24.44,60,20,5.66,US,1691553546
176,jieshi,22.8134,115.8257,31.09,69,36,5.83,CN,1691553767
177,magadan,59.5667,150.8,22.52,55,26,3.76,RU,1691553767
178,bamboo flat,11.7,92.7167,30.05,74,75,4.63,IN,1691553768
179,guane,22.2025,-84.0875,27.13,83,66,0.65,CU,1691553768
180,badarwas,24.9667,77.5667,27.57,67,100,7.09,IN,1691553769
181,carnarvon,-24.8667,113.6333,23.42,52,15,3.86,AU,1691553770
182,miranda,3.2499,-76.2281,22.07,64,49,2.5,CO,1691553770
183,phan rang-thap cham,11.5667,108.9833,36.34,40,29,3.4,VN,1691553770
184,hawaiian paradise park,19.5933,-154.9731,27.72,83,73,5.22,US,1691553770
185,i-n-salah,27.1935,2.4607,34.29,18,0,9.58,DZ,1691553771
186,sur,22.5667,59.5289,31.88,59,3,1.55,OM,1691553771
187,alpine,32.835,-116.7664,22.36,59,0,0.0,US,1691553771
188,puerto deseado,-47.7503,-65.8938,7.74,61,94,4.67,AR,1691553771
189,marco island,25.9363,-81.7157,29.44,78,40,0.35,US,1691553693
190,tame,6.461,-71.73,22.36,89,21,2.3,CO,1691553772
191,saint-philippe,-21.3585,55.7679,19.77,79,41,4.42,RE,1691553772
192,karatau,43.1667,70.4667,30.95,24,14,2.13,KZ,1691553772
193,hadibu,12.65,54.0333,25.82,79,100,11.97,YE,1691553773
194,tari,12.4086,4.4914,23.57,89,100,4.64,NG,1691553773
195,el sauzal de rodriguez,31.9,-116.6833,21.34,76,22,1.23,MX,1691553706
196,nuku'alofa,-21.1333,-175.2,23.19,94,75,4.63,TO,1691553773
197,dudinka,69.4058,86.1778,21.46,49,80,2.16,RU,1691553774
198,tralee,52.2704,-9.7026,16.33,98,99,2.1,IE,1691553774
199,nadi,-17.8,177.4167,27.0,69,75,6.69,FJ,1691553774
200,umm kaddadah,13.6017,26.6876,25.68,71,48,6.08,SD,1691553774
201,broome,42.2506,-75.833,18.81,92,94,1.34,US,1691553775
202,laguna,38.421,-121.4238,25.81,59,0,3.6,US,1691553775
203,el granada,37.5027,-122.4694,20.16,87,100,6.69,US,1691553775
204,tauranga,-37.6861,176.1667,13.14,70,74,2.68,NZ,1691553617
205,wakkanai,45.4094,141.6739,20.05,94,75,4.12,JP,1691553776
206,buka,40.8108,69.1986,32.02,21,0,3.16,UZ,1691553618
207,namibe,-15.1961,12.1522,16.68,89,1,2.51,AO,1691553776
208,raduzhnyy,62.0961,77.475,20.68,49,62,4.38,RU,1691553776
209,keetmanshoop,-26.5833,18.1333,16.51,27,0,4.63,NA,1691553777
210,murashi,59.3999,48.9615,18.59,75,13,2.38,RU,1691553777
211,yemva,62.59,50.8594,17.76,56,43,1.32,RU,1691553777
212,shenjiamen,29.9576,122.298,28.31,77,0,7.05,CN,1691553777
213,tanjung pandan,-2.75,107.65,31.58,48,5,4.23,ID,1691553778
214,tazovsky,67.4667,78.7,10.01,95,100,5.98,RU,1691553778
215,dauphin,51.1494,-100.0502,15.08,77,75,1.54,CA,1691553778
216,monte argentario,42.4345,11.1195,21.04,65,100,4.25,IT,1691553778
217,tingo maria,-9.2895,-76.0088,21.78,81,84,1.01,PE,1691553779
218,college,64.8569,-147.8028,19.21,84,100,2.06,US,1691553617
219,berdigestyakh,62.0989,126.6992,23.28,31,22,4.61,RU,1691553779
220,selfoss,63.9331,-20.9971,6.69,79,6,3.11,IS,1691553780
221,kampong speu,11.5,104.3333,35.44,39,38,5.56,KH,1691553780
222,ulladulla,-35.35,150.4667,20.86,40,1,2.91,AU,1691553780
223,soufriere,13.8562,-61.0566,27.78,97,40,5.66,LC,1691553780
224,malakal,9.5334,31.6605,20.75,95,100,0.37,SS,1691553781
225,lata,40.1629,-8.3327,19.95,89,1,0.45,PT,1691553781
226,el paujil,1.5701,-75.3286,20.84,96,100,1.39,CO,1691553781
227,badger,64.8,-147.5333,19.17,83,100,2.06,US,1691553781
228,almeirim,-1.5233,-52.5817,23.15,92,48,1.53,BR,1691553782
229,iskateley,67.6803,53.1512,15.98,54,22,1.99,RU,1691553782
230,borogontsy,62.6683,131.1683,23.06,36,33,2.39,RU,1691553782
231,greenville,35.6127,-77.3663,25.63,84,0,0.0,US,1691553587
232,kananga,-5.8958,22.4178,20.16,71,10,0.73,CD,1691553628
233,vilyuysk,63.7553,121.6247,24.45,29,99,4.99,RU,1691553783
234,egilsstadir,65.2653,-14.3948,3.95,93,100,1.54,IS,1691553783
235,saipan,15.1355,145.701,28.39,100,100,2.06,MP,1691553783
236,puerto aysen,-45.4,-72.7,5.75,100,100,0.62,CL,1691553784
237,xining,36.6167,101.7667,26.31,48,77,0.22,CN,1691553784
238,fort bragg,35.139,-79.006,27.12,75,100,1.54,US,1691553784
239,auki,-8.7676,160.7034,27.2,80,100,3.07,SB,1691553784
240,luau,-10.7073,22.2247,15.82,43,0,1.54,AO,1691553785
241,antalaha,-14.9003,50.2788,19.75,88,9,2.68,MG,1691553785
242,timbiqui,2.7717,-77.6654,24.59,94,95,1.11,CO,1691553785
243,kargil,34.5667,76.1,17.12,42,1,1.23,IN,1691553786
244,kailua-kona,19.6406,-155.9956,29.01,74,20,5.66,US,1691553786
245,isangel,-19.55,169.2667,23.06,64,75,2.57,VU,1691553786
246,uturoa,-16.7333,-151.4333,25.5,82,99,8.66,PF,1691553786
247,tammela,60.8104,23.7682,12.09,88,0,3.66,FI,1691553787
248,qaqortoq,60.7167,-46.0333,5.23,86,70,0.29,GL,1691553787
249,beaufort west,-32.3567,22.583,10.01,83,63,5.7,ZA,1691553787
250,fort abbas,29.1925,72.8536,33.44,48,98,7.8,PK,1691553787
251,plettenberg bay,-34.0527,23.3716,13.55,86,40,2.19,ZA,1691553788
252,crane,31.3974,-102.3501,32.29,29,59,7.85,US,1691553788
253,constantia,44.1833,28.65,14.38,70,0,2.97,RO,1691553788
254,ancud,-41.8697,-73.8203,11.23,94,100,14.62,CL,1691553623
255,vangaindrano,-23.35,47.6,18.77,93,69,0.8,MG,1691553789
256,barah,13.7,30.3667,23.63,81,74,6.59,SD,1691553789
257,lamu,-2.2717,40.902,23.12,87,44,5.68,KE,1691553789
258,kendari,-3.945,122.4989,29.06,63,36,2.84,ID,1691553790
259,meybod,32.2501,54.0166,28.01,31,2,5.0,IR,1691553790
260,guichon,-32.35,-57.2,10.28,77,100,3.92,UY,1691553790
261,lensk,60.7253,114.9278,29.4,39,36,2.25,RU,1691553790
262,la'ie,21.6477,-157.9253,28.98,73,20,2.24,US,1691553791
263,kuusamo,65.9667,29.1833,17.0,94,49,1.94,FI,1691553791
264,wucheng,29.6008,118.175,31.48,71,62,1.92,CN,1691553791
265,yanbu,24.0891,38.0637,29.02,94,0,1.03,SA,1691553675
266,vila franca do campo,37.7167,-25.4333,23.23,91,93,5.35,PT,1691553792
267,veraval,20.9,70.3667,27.64,82,100,7.52,IN,1691553792
268,prado,-17.3411,-39.2208,20.86,91,22,1.08,BR,1691553792
269,pahrump,36.2083,-115.9839,32.75,5,0,3.03,US,1691553742
270,gornopravdinsk,60.05,69.9,20.22,68,94,3.8,RU,1691553793
271,zhenzhou,32.2692,119.1789,32.16,66,89,2.78,CN,1691553793
272,mount gambier,-37.8333,140.7667,16.6,48,0,6.2,AU,1691553793
273,vilyuchinsk,52.9306,158.4028,23.15,55,62,1.76,RU,1691553793
274,luanda,-8.8368,13.2343,21.0,83,75,2.06,AO,1691553794
275,ban karon,7.8477,98.2985,29.95,73,100,3.44,TH,1691553794
276,susuman,62.7833,148.1667,9.95,53,100,1.27,RU,1691553794
277,uvalde,29.3669,-99.767,33.55,56,0,6.17,US,1691553594
278,tingi,-11.3,35.0333,14.77,73,67,2.79,TZ,1691553795
279,mount pleasant,32.7941,-79.8626,27.21,81,20,2.57,US,1691553731
280,old shinyanga,-3.55,33.4,17.88,70,20,4.11,TZ,1691553795
281,terbanggi besar,-4.8667,105.2333,29.44,60,38,3.05,ID,1691553795
282,egersund,58.4513,5.9997,11.72,87,100,12.84,NO,1691553796
283,praia da vitoria,38.7333,-27.0667,24.14,88,75,8.63,PT,1691553796
284,krasnovishersk,60.4078,57.082,20.82,63,39,1.46,RU,1691553796
285,yasuj,30.6682,51.588,20.75,49,20,0.0,IR,1691553796
286,klyavlino,54.2649,52.0267,19.51,66,8,5.32,RU,1691553797
287,puerto baquerizo moreno,-0.9,-89.6,23.38,79,98,5.36,EC,1691553797
288,yorkton,51.2167,-102.4677,12.91,76,40,3.09,CA,1691553603
289,half moon,34.826,-77.4594,27.76,86,0,2.06,US,1691553797
290,atafu village,-8.5421,-172.5159,27.92,79,57,6.59,TK,1691553798
291,gutao,37.2025,112.1781,33.0,34,73,2.8,CN,1691553798
292,lerwick,60.1545,-1.1494,10.0,77,100,14.53,GB,1691553798
293,shahzadpur,24.1667,89.6,29.85,70,97,1.02,BD,1691553798
294,kelo,9.3086,15.8066,21.82,97,100,1.37,TD,1691553799
295,enewetak,11.3474,162.3373,28.83,77,91,6.34,MH,1691553799
296,tambura,5.6,27.4667,19.0,97,100,1.1,SS,1691553799
297,hithadhoo,-0.6,73.0833,27.5,75,47,2.3,MV,1691553799
298,touros,-5.1989,-35.4608,23.9,87,100,4.64,BR,1691553800
299,port saint john's,-31.6229,29.5448,16.79,77,86,3.61,ZA,1691553800
